,precision,recall,f1-score,support
car-alarm,0.9382716049382716,0.7378640776699029,0.8260869565217391,309.0
community-radio,0.7436619718309859,0.8148148148148148,0.7776141384388807,324.0
construction-site,0.8098159509202454,0.822429906542056,0.8160741885625966,321.0
crowd-noise,0.7864406779661017,0.7785234899328859,0.7824620573355818,298.0
generator,0.924812030075188,0.8661971830985915,0.8945454545454545,284.0
mobile-music,0.819327731092437,0.8369098712446352,0.8280254777070064,233.0
motorvehicle-horn,0.6839080459770115,0.7959866220735786,0.7357032457496137,299.0
motorvehicle-siren,0.9157303370786517,0.9005524861878453,0.9080779944289693,181.0
accuracy,0.8136949755446865,0.8136949755446865,0.8136949755446865,0.8136949755446865
macro avg,0.8277460437348616,0.8191598064455388,0.8210736891612302,2249.0
weighted avg,0.8221290892497626,0.8136949755446865,0.8153221835933443,2249.0
