,precision,recall,f1-score,support
car-alarm,0.9073359073359073,0.7605177993527508,0.8274647887323944,309.0
community-radio,0.7953216374269005,0.8395061728395061,0.8168168168168168,324.0
construction-site,0.83125,0.8286604361370716,0.8299531981279251,321.0
crowd-noise,0.8013468013468014,0.7986577181208053,0.8,298.0
generator,0.9267399267399268,0.8908450704225352,0.9084380610412927,284.0
mobile-music,0.8311688311688312,0.8240343347639485,0.8275862068965517,233.0
motorvehicle-horn,0.6846590909090909,0.8060200668896321,0.7403993855606759,299.0
motorvehicle-siren,0.9314285714285714,0.9005524861878453,0.9157303370786517,181.0
accuracy,0.8270342374388617,0.8270342374388617,0.8270342374388617,0.8270342374388617
macro avg,0.8386563457945038,0.831099260589262,0.8332985992817885,2249.0
weighted avg,0.833188848004146,0.8270342374388617,0.8284130048032566,2249.0
