,precision,recall,f1-score,support
car-alarm,0.961038961038961,0.7184466019417476,0.8222222222222222,309.0
community-radio,0.8052325581395349,0.8549382716049383,0.8293413173652695,324.0
construction-site,0.8029411764705883,0.8504672897196262,0.8260211800302572,321.0
crowd-noise,0.8586956521739131,0.7953020134228188,0.8257839721254355,298.0
generator,0.9272727272727272,0.897887323943662,0.9123434704830053,284.0
mobile-music,0.7959183673469388,0.8369098712446352,0.8158995815899581,233.0
motorvehicle-horn,0.7002801120448179,0.8361204013377926,0.7621951219512195,299.0
motorvehicle-siren,0.9060773480662984,0.9060773480662984,0.9060773480662984,181.0
accuracy,0.8328145842596709,0.8328145842596709,0.8328145842596709,0.8328145842596709
macro avg,0.8446821128192225,0.8370186401601899,0.8374855267292082,2249.0
weighted avg,0.842005334562839,0.8328145842596709,0.8337555204833947,2249.0
