variant,accuracy,macro_precision,macro_recall,macro_f1,run
audio_only,0.391304347826087,0.4492784992784993,0.382191033353824,0.3737606170201107,vggsound_fusion_alpha_0.2
visual_only,0.3540372670807453,0.5158661887694146,0.3700517217959078,0.3060314415864643,vggsound_fusion_alpha_0.2
late_fusion_alpha_0.2,0.4472049689440994,0.4965892721510698,0.4583364990341734,0.4087835224563372,vggsound_fusion_alpha_0.2
audio_only,0.391304347826087,0.4492784992784993,0.382191033353824,0.3737606170201107,vggsound_fusion_alpha_0.3
visual_only,0.3540372670807453,0.5158661887694146,0.3700517217959078,0.3060314415864643,vggsound_fusion_alpha_0.3
late_fusion_alpha_0.3,0.4472049689440994,0.5018533192035467,0.4573936957657888,0.4122702603996527,vggsound_fusion_alpha_0.3
audio_only,0.391304347826087,0.4492784992784993,0.382191033353824,0.3737606170201107,vggsound_fusion_alpha_0.4
visual_only,0.3540372670807453,0.5158661887694146,0.3700517217959078,0.3060314415864643,vggsound_fusion_alpha_0.4
late_fusion_alpha_0.4,0.4596273291925465,0.5439255358462676,0.467482496552264,0.4319234360410831,vggsound_fusion_alpha_0.4
audio_only,0.391304347826087,0.4492784992784993,0.382191033353824,0.3737606170201107,vggsound_fusion_alpha_0.5
visual_only,0.3540372670807453,0.5158661887694146,0.3700517217959078,0.3060314415864643,vggsound_fusion_alpha_0.5
late_fusion_alpha_0.5,0.453416149068323,0.5213690412608396,0.4552073476492081,0.4381397025746871,vggsound_fusion_alpha_0.5
audio_only,0.391304347826087,0.4492784992784993,0.382191033353824,0.3737606170201107,vggsound_fusion_alpha_0.6
visual_only,0.3540372670807453,0.5158661887694146,0.3700517217959078,0.3060314415864643,vggsound_fusion_alpha_0.6
late_fusion_alpha_0.6,0.4285714285714285,0.498627781030445,0.4280418931581722,0.4178271308523409,vggsound_fusion_alpha_0.6
audio_only,0.391304347826087,0.4492784992784993,0.382191033353824,0.3737606170201107,vggsound_fusion_alpha_0.7
visual_only,0.3540372670807453,0.5158661887694146,0.3700517217959078,0.3060314415864643,vggsound_fusion_alpha_0.7
late_fusion_alpha_0.7,0.4161490683229814,0.4848579782790309,0.4135855763762741,0.4072605611056704,vggsound_fusion_alpha_0.7
audio_only,0.391304347826087,0.4492784992784993,0.382191033353824,0.3737606170201107,vggsound_fusion_alpha_0.8
visual_only,0.3540372670807453,0.5158661887694146,0.3700517217959078,0.3060314415864643,vggsound_fusion_alpha_0.8
late_fusion_alpha_0.8,0.4037267080745341,0.4716130604288499,0.4000720628627605,0.3952369344526207,vggsound_fusion_alpha_0.8
