Video,Frames,Construction Site,Construction Confidence,Equipment,Standard Detections (Top 5),MOCS Detections (Top 5)
test_traffic_vid_1_chunk_0000.mp4,10,No,0.0%,None,car (74.4%),Other vehicle (75.5%)
test_traffic_vid_1_chunk_0001.mp4,10,No,10.0%,Truck,car (71.0%),Other vehicle (69.4%); Truck (68.7%)
test_traffic_vid_1_chunk_0002.mp4,10,No,0.0%,None,car (72.3%),Other vehicle (82.6%)
test_traffic_vid_1_chunk_0003.mp4,10,No,10.0%,Crane,car (73.3%),Other vehicle (78.5%); Crane (54.2%)
test_traffic_vid_1_chunk_0004.mp4,9,No,0.0%,None,car (74.6%),Other vehicle (79.4%)
test_traffic_vid_1_chunk_0005.mp4,9,No,0.0%,None,person (83.3%); car (75.9%),Worker (86.0%); Other vehicle (82.6%)
test_traffic_vid_1_chunk_0006.mp4,9,No,0.0%,None,car (76.9%),Other vehicle (81.6%)
test_traffic_vid_1_chunk_0007.mp4,9,No,11.1%,Crane,car (78.4%),Other vehicle (80.3%); Crane (51.2%)
test_traffic_vid_1_chunk_0008.mp4,8,No,12.5%,Truck,car (75.2%),Other vehicle (70.4%); Truck (59.9%)
test_traffic_vid_1_chunk_0009.mp4,8,No,12.5%,Truck,car (71.2%),Other vehicle (69.8%); Truck (61.2%)
test_traffic_vid_1_chunk_0010.mp4,8,No,0.0%,None,car (71.3%),Other vehicle (65.1%)
test_traffic_vid_1_chunk_0011.mp4,8,No,0.0%,None,car (76.5%),Other vehicle (69.1%)
test_traffic_vid_1_chunk_0012.mp4,8,No,0.0%,None,person (78.4%); car (71.4%),Worker (79.3%); Other vehicle (69.1%)
test_traffic_vid_1_chunk_0013.mp4,7,No,0.0%,None,car (75.5%),Other vehicle (75.6%); Worker (51.4%)
test_traffic_vid_1_chunk_0014.mp4,7,No,28.6%,Crane,car (73.4%); person (60.5%); truck (51.9%),Other vehicle (80.7%); Worker (61.3%); Crane (57.5%)
test_traffic_vid_1_chunk_0015.mp4,7,No,28.6%,"Truck, Crane",car (70.4%); person (59.9%); truck (51.9%),Worker (64.1%); Other vehicle (63.4%); Crane (54.1%); Truck (51.3%)
