video_path,total_frames,is_construction_site,construction_confidence,construction_equipment,top_standard_detection,top_standard_confidence,num_standard_detections,num_mocs_detections
test_traffic_vid_1_chunk_0000.mp4,10,False,0.00%,,car,74.38%,1,1
test_traffic_vid_1_chunk_0001.mp4,10,False,10.00%,Truck,car,70.96%,1,2
test_traffic_vid_1_chunk_0002.mp4,10,False,0.00%,,car,72.31%,1,1
test_traffic_vid_1_chunk_0003.mp4,10,False,10.00%,Crane,car,73.25%,1,2
test_traffic_vid_1_chunk_0004.mp4,9,False,0.00%,,car,74.56%,1,1
test_traffic_vid_1_chunk_0005.mp4,9,False,0.00%,,person,83.27%,2,2
test_traffic_vid_1_chunk_0006.mp4,9,False,0.00%,,car,76.86%,1,1
test_traffic_vid_1_chunk_0007.mp4,9,False,11.11%,Crane,car,78.35%,1,2
test_traffic_vid_1_chunk_0008.mp4,8,False,12.50%,Truck,car,75.18%,1,2
test_traffic_vid_1_chunk_0009.mp4,8,False,12.50%,Truck,car,71.23%,1,2
test_traffic_vid_1_chunk_0010.mp4,8,False,0.00%,,car,71.31%,1,1
test_traffic_vid_1_chunk_0011.mp4,8,False,0.00%,,car,76.51%,1,1
test_traffic_vid_1_chunk_0012.mp4,8,False,0.00%,,person,78.41%,2,2
test_traffic_vid_1_chunk_0013.mp4,7,False,0.00%,,car,75.49%,1,2
test_traffic_vid_1_chunk_0014.mp4,7,False,28.57%,Crane,car,73.41%,3,3
test_traffic_vid_1_chunk_0015.mp4,7,False,28.57%,"Truck, Crane",car,70.37%,3,4
test_traffic_vid_1_chunk_0016.mp4,7,False,0.00%,,person,83.42%,3,2
test_traffic_vid_1_chunk_0017.mp4,7,True,85.71%,Crane,car,69.86%,2,2
test_traffic_vid_1_chunk_0018.mp4,6,False,33.33%,"Truck, Crane",car,72.00%,1,3
test_traffic_vid_1_chunk_0019.mp4,6,False,0.00%,,car,73.90%,1,1
test_traffic_vid_1_chunk_0020.mp4,6,False,0.00%,,car,69.96%,1,1
test_traffic_vid_1_chunk_0021.mp4,6,False,50.00%,Crane,car,69.37%,1,2
test_traffic_vid_1_chunk_0022.mp4,6,False,0.00%,,car,68.95%,1,2
test_traffic_vid_1_chunk_0023.mp4,5,False,0.00%,,person,83.33%,2,2
test_traffic_vid_1_chunk_0024.mp4,10,False,0.00%,,car,77.65%,3,2
test_traffic_vid_1_chunk_0025.mp4,10,False,0.00%,,car,76.81%,1,1
test_traffic_vid_1_chunk_0026.mp4,10,False,0.00%,,car,77.32%,1,1
test_traffic_vid_1_chunk_0027.mp4,10,False,10.00%,Crane,car,67.07%,1,2
test_traffic_vid_1_chunk_0028.mp4,10,False,20.00%,Crane,car,69.47%,1,3
test_traffic_vid_1_chunk_0029.mp4,9,False,11.11%,Crane,car,73.46%,1,2
test_traffic_vid_1_chunk_0030.mp4,9,False,0.00%,,person,81.02%,2,2
test_traffic_vid_1_chunk_0031.mp4,9,False,11.11%,Truck,person,80.30%,2,3
test_traffic_vid_1_chunk_0032.mp4,9,False,33.33%,Crane,person,75.75%,2,3
test_traffic_vid_1_chunk_0033.mp4,9,False,11.11%,Crane,car,70.20%,2,3
test_traffic_vid_1_chunk_0034.mp4,8,False,0.00%,,car,69.94%,1,2
test_traffic_vid_1_chunk_0035.mp4,8,False,0.00%,,car,71.26%,1,2
test_traffic_vid_1_chunk_0036.mp4,8,False,50.00%,Crane,car,71.22%,1,2
test_traffic_vid_1_chunk_0037.mp4,8,False,0.00%,,car,72.90%,1,1
test_traffic_vid_1_chunk_0038.mp4,8,False,12.50%,Crane,car,71.72%,1,2
test_traffic_vid_1_chunk_0039.mp4,7,False,0.00%,,car,71.18%,1,1
test_traffic_vid_1_chunk_0040.mp4,7,False,0.00%,,car,69.19%,1,1
test_traffic_vid_1_chunk_0041.mp4,7,False,14.29%,Truck,car,74.70%,1,2
test_traffic_vid_1_chunk_0042.mp4,7,False,28.57%,Truck,car,76.06%,1,2
test_traffic_vid_1_chunk_0043.mp4,7,False,0.00%,,car,74.41%,1,1
test_traffic_vid_1_chunk_0044.mp4,7,False,0.00%,,car,68.76%,1,1
test_traffic_vid_1_chunk_0045.mp4,6,False,0.00%,,car,66.78%,1,1
test_traffic_vid_1_chunk_0046.mp4,6,False,0.00%,,car,66.65%,2,1
test_traffic_vid_1_chunk_0047.mp4,6,False,16.67%,Crane,car,63.88%,1,2
test_traffic_vid_1_chunk_0048.mp4,10,False,0.00%,,car,70.83%,1,1
test_traffic_vid_1_chunk_0049.mp4,10,False,0.00%,,car,73.33%,1,1
test_traffic_vid_1_chunk_0050.mp4,10,False,20.00%,Truck,car,67.03%,1,2
test_traffic_vid_1_chunk_0051.mp4,10,False,40.00%,"Truck, Crane",bus,81.11%,3,3
test_traffic_vid_1_chunk_0052.mp4,10,False,10.00%,Truck,car,64.78%,1,2
test_traffic_vid_1_chunk_0053.mp4,10,False,10.00%,Crane,car,65.84%,1,2
test_traffic_vid_1_chunk_0054.mp4,9,False,0.00%,,car,73.91%,1,1
test_traffic_vid_1_chunk_0055.mp4,9,False,0.00%,,person,81.87%,3,2
test_traffic_vid_1_chunk_0056.mp4,9,False,11.11%,Truck,person,85.30%,2,3
test_traffic_vid_1_chunk_0057.mp4,9,False,0.00%,,person,83.17%,2,2
test_traffic_vid_1_chunk_0058.mp4,9,False,0.00%,,person,82.10%,2,2
test_traffic_vid_1_chunk_0059.mp4,9,False,0.00%,,person,80.64%,2,2
