event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,top_audio_class,top_audio_confidence,top_video_class,top_video_confidence,is_construction_site,construction_confidence,violations,is_compliant,severity,num_violations
test_clip_1_chunk_0000,2025-11-02T01:32:49.916515,residential,night,54.7,45.0,9.7,True,motorvehicle-horn,0.4362,car,0.782,False,0.0,ambient_exceeded,False,minor,1
test_clip_1_chunk_0001,2025-11-02T01:32:59.916515,residential,night,58.84,45.0,13.84,True,motorvehicle-horn,0.7052,car,0.7964,False,0.1,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0002,2025-11-02T01:32:09.916515,residential,night,59.94,45.0,14.94,True,motorvehicle-horn,0.4958,car,0.8028,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0003,2025-11-02T01:32:19.916515,residential,night,61.33,45.0,16.33,True,motorvehicle-siren,0.3314,car,0.8248,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0004,2025-11-02T01:32:29.916515,residential,night,64.94,45.0,19.94,True,generator,0.8378,car,0.8351,False,0.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0005,2025-11-02T01:32:39.916515,residential,night,58.11,45.0,13.11,True,motorvehicle-horn,0.421,car,0.8416,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0006,2025-11-02T01:33:49.916515,residential,night,67.75,45.0,22.75,True,motorvehicle-siren,0.474,car,0.8499,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0007,2025-11-02T01:33:59.916515,residential,night,55.98,45.0,10.98,True,motorvehicle-horn,0.6261,car,0.8428,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0008,2025-11-02T01:33:09.916515,residential,night,59.56,45.0,14.56,True,motorvehicle-horn,0.612,car,0.8171,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0009,2025-11-02T01:33:19.916515,residential,night,54.92,45.0,9.92,True,motorvehicle-horn,0.7385,car,0.8107,False,0.125,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0010,2025-11-02T01:33:29.916515,residential,night,53.5,45.0,8.5,True,motorvehicle-horn,0.7439,car,0.8189,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0011,2025-11-02T01:33:39.916515,residential,night,56.06,45.0,11.06,True,motorvehicle-horn,0.6349,car,0.8136,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0012,2025-11-02T01:34:49.916515,residential,night,78.51,45.0,33.51,True,motorvehicle-horn,0.8853,person,0.8222,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0013,2025-11-02T01:34:59.916515,residential,night,83.79,45.0,38.79,True,generator,0.8675,car,0.8303,False,0.1429,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0014,2025-11-02T01:34:09.916515,residential,night,63.17,45.0,18.17,True,generator,0.6034,car,0.7973,False,0.4286,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0015,2025-11-02T01:34:19.916515,residential,night,62.67,45.0,17.67,True,generator,0.4135,car,0.8114,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0016,2025-11-02T01:34:29.916515,residential,night,58.28,45.0,13.28,True,motorvehicle-horn,0.8285,person,0.8843,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0017,2025-11-02T01:34:39.916515,residential,night,60.02,45.0,15.02,True,motorvehicle-horn,0.5017,car,0.7961,False,0.5,ambient_exceeded,False,severe,1
test_clip_1_chunk_0018,2025-11-02T01:35:49.916515,residential,night,62.89,45.0,17.89,True,generator,0.435,car,0.7992,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0019,2025-11-02T01:35:59.916515,residential,night,63.38,45.0,18.38,True,generator,0.3978,car,0.8044,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0020,2025-11-02T01:35:09.916515,residential,night,59.47,45.0,14.47,True,motorvehicle-horn,0.3601,car,0.8032,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0021,2025-11-02T01:35:19.916515,residential,night,59.0,45.0,14.0,True,motorvehicle-horn,0.4654,car,0.7934,False,0.1,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0022,2025-11-02T01:35:29.916515,residential,night,60.28,45.0,15.28,True,motorvehicle-siren,0.7177,car,0.8273,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0023,2025-11-02T01:35:39.916515,residential,night,61.59,45.0,16.59,True,generator,0.7388,person,0.8101,False,0.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0024,2025-11-02T01:36:49.916515,residential,night,56.84,45.0,11.84,True,motorvehicle-horn,0.567,car,0.8364,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0025,2025-11-02T01:36:59.916515,residential,night,58.59,45.0,13.59,True,generator,0.3789,car,0.836,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0026,2025-11-02T01:36:09.916515,residential,night,57.53,45.0,12.53,True,motorvehicle-horn,0.5587,car,0.8261,False,0.1111,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0027,2025-11-02T01:36:19.916515,residential,night,60.26,45.0,15.26,True,motorvehicle-siren,0.5253,car,0.7807,False,0.3333,ambient_exceeded,False,severe,1
test_clip_1_chunk_0028,2025-11-02T01:36:29.916515,residential,night,56.6,45.0,11.6,True,motorvehicle-horn,0.5803,car,0.7741,False,0.2222,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0029,2025-11-02T01:36:39.916515,residential,night,58.71,45.0,13.71,True,motorvehicle-horn,0.3559,car,0.8197,False,0.1111,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0030,2025-11-02T01:37:49.916515,residential,night,59.2,45.0,14.2,True,generator,0.3779,person,0.8232,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0031,2025-11-02T01:37:59.916515,residential,night,59.4,45.0,14.4,True,motorvehicle-horn,0.471,person,0.8615,False,0.1111,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0032,2025-11-02T01:37:09.916515,residential,night,59.75,45.0,14.75,True,motorvehicle-horn,0.6396,car,0.8186,False,0.125,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0033,2025-11-02T01:37:19.916515,residential,night,58.94,45.0,13.94,True,motorvehicle-horn,0.5514,car,0.8071,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0034,2025-11-02T01:37:29.916515,residential,night,58.14,45.0,13.14,True,motorvehicle-horn,0.4746,car,0.8096,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0035,2025-11-02T01:37:39.916515,residential,night,60.02,45.0,15.02,True,generator,0.4466,car,0.7906,False,0.1429,ambient_exceeded,False,severe,1
test_clip_1_chunk_0036,2025-11-02T01:38:49.916515,residential,night,54.75,45.0,9.75,True,motorvehicle-horn,0.6525,car,0.7804,False,0.4286,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0037,2025-11-02T01:38:59.916515,residential,night,57.88,45.0,12.88,True,motorvehicle-horn,0.6131,car,0.8106,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0038,2025-11-02T01:38:09.916515,residential,night,57.41,45.0,12.41,True,motorvehicle-horn,0.5951,car,0.8008,False,0.1429,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0039,2025-11-02T01:38:19.916515,residential,night,59.6,45.0,14.6,True,motorvehicle-horn,0.4157,car,0.7822,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0040,2025-11-02T01:38:29.916515,residential,night,62.49,45.0,17.49,True,generator,0.401,car,0.785,False,0.1667,ambient_exceeded,False,severe,1
test_clip_1_chunk_0041,2025-11-02T01:38:39.916515,residential,night,58.21,45.0,13.21,True,motorvehicle-horn,0.3667,car,0.8294,False,0.1667,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0042,2025-11-02T01:39:49.916515,residential,night,63.94,45.0,18.94,True,motorvehicle-siren,0.3376,car,0.8327,False,0.3,ambient_exceeded,False,severe,1
test_clip_1_chunk_0043,2025-11-02T01:39:59.916515,residential,night,58.57,45.0,13.57,True,motorvehicle-horn,0.4712,car,0.817,False,0.1,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0044,2025-11-02T01:39:09.916515,residential,night,57.32,45.0,12.32,True,motorvehicle-horn,0.5051,car,0.7732,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0045,2025-11-02T01:39:19.916515,residential,night,56.85,45.0,11.85,True,motorvehicle-horn,0.4804,car,0.7565,False,0.1,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0046,2025-11-02T01:39:29.916515,residential,night,56.14,45.0,11.14,True,motorvehicle-horn,0.6524,car,0.7773,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0047,2025-11-02T01:39:39.916515,residential,night,60.28,45.0,15.28,True,generator,0.701,car,0.7785,False,0.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0048,2025-11-02T01:40:49.916515,residential,night,58.7,45.0,13.7,True,motorvehicle-siren,0.522,car,0.8186,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0049,2025-11-02T01:40:59.916515,residential,night,59.11,45.0,14.11,True,motorvehicle-horn,0.5611,car,0.8172,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0050,2025-11-02T01:40:09.916515,residential,night,60.34,45.0,15.34,True,motorvehicle-horn,0.5728,car,0.7529,False,0.125,ambient_exceeded,False,severe,1
test_clip_1_chunk_0051,2025-11-02T01:40:19.916515,residential,night,59.91,45.0,14.91,True,motorvehicle-siren,0.3413,car,0.7772,False,0.125,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0052,2025-11-02T01:40:29.916515,residential,night,53.75,45.0,8.75,True,motorvehicle-horn,0.3941,car,0.7622,False,0.125,ambient_exceeded,False,minor,1
test_clip_1_chunk_0053,2025-11-02T01:40:39.916515,residential,night,55.68,45.0,10.68,True,motorvehicle-horn,0.3561,car,0.7578,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0054,2025-11-02T01:41:49.916515,residential,night,56.29,45.0,11.29,True,motorvehicle-horn,0.4139,car,0.8118,False,0.0,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0055,2025-11-02T01:41:59.916515,residential,night,58.08,45.0,13.08,True,motorvehicle-horn,0.5591,person,0.8757,False,0.1429,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0056,2025-11-02T01:41:09.916515,residential,night,58.51,45.0,13.51,True,motorvehicle-siren,0.4359,person,0.9038,False,0.3333,ambient_exceeded,False,moderate,1
test_clip_1_chunk_0057,2025-11-02T01:41:19.916515,residential,night,63.07,45.0,18.07,True,generator,0.4246,person,0.8816,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0058,2025-11-02T01:41:29.916515,residential,night,63.52,45.0,18.52,True,generator,0.4877,person,0.8691,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0059,2025-11-02T01:41:39.916515,residential,night,64.46,45.0,19.46,True,generator,0.5714,person,0.8599,False,0.0,ambient_exceeded,False,severe,1
test_clip_1_chunk_0060,2025-11-02T01:42:49.916515,residential,night,65.83,45.0,20.83,True,motorvehicle-horn,0.7448,car,0.7883,False,0.6,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0061,2025-11-02T01:42:59.916515,residential,night,60.61,45.0,15.61,True,crowd-noise,0.4822,car,0.7357,True,0.8,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0062,2025-11-02T01:42:09.916515,residential,night,59.14,45.0,14.14,True,crowd-noise,0.4033,truck,0.8045,True,0.7,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0063,2025-11-02T01:42:19.916515,residential,night,60.99,45.0,15.99,True,crowd-noise,0.395,car,0.7596,True,0.8889,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0064,2025-11-02T01:42:29.916515,residential,night,57.59,45.0,12.59,True,crowd-noise,0.3974,bus,0.8582,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0065,2025-11-02T01:42:39.916515,residential,night,59.2,45.0,14.2,True,crowd-noise,0.6504,person,0.7751,True,0.7778,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0066,2025-11-02T01:43:49.916515,residential,night,60.71,45.0,15.71,True,motorvehicle-horn,0.491,truck,0.7417,True,0.8889,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0067,2025-11-02T01:43:59.916515,residential,night,62.82,45.0,17.82,True,crowd-noise,0.5999,car,0.857,False,0.625,ambient_exceeded,False,severe,1
test_clip_1_chunk_0068,2025-11-02T01:43:09.916515,residential,night,67.08,45.0,22.08,True,motorvehicle-horn,0.4043,car,0.8588,False,0.625,ambient_exceeded,False,severe,1
test_clip_1_chunk_0069,2025-11-02T01:43:19.916515,residential,night,63.76,45.0,18.76,True,crowd-noise,0.4513,car,0.7853,False,0.625,ambient_exceeded,False,severe,1
test_clip_1_chunk_0070,2025-11-02T01:43:29.916515,residential,night,61.16,45.0,16.16,True,motorvehicle-horn,0.6927,person,0.7604,True,0.7143,ambient_exceeded; horn_prohibited; construction_prohibited; multiple_violations,False,severe,4
test_clip_1_chunk_0071,2025-11-02T01:43:39.916515,residential,night,71.17,45.0,26.17,True,motorvehicle-horn,0.7526,car,0.7779,True,0.7143,ambient_exceeded; horn_prohibited; construction_prohibited; multiple_violations,False,severe,4
