event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,top_audio_class,top_audio_confidence,top_video_class,top_video_confidence,is_construction_site,construction_confidence,violations,is_compliant,severity,num_violations,fusion_audio_class,fusion_audio_confidence,fusion_visual_class,fusion_visual_confidence,fusion_score,fusion_alpha,fusion_mode
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0000,2026-06-04T12:00:00,residential,day,65.95,55.0,10.95,True,motorvehicle-horn,0.6599,car,0.8119,False,0.0,ambient_exceeded,False,moderate,1,motorvehicle-horn,0.5585,car,0.8119,0.6599,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0001,2026-06-04T12:00:10,residential,day,60.74,55.0,5.74,True,motorvehicle-horn,0.7854,car,0.8366,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.7513,car,0.8366,0.7854,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0002,2026-06-04T12:00:20,residential,day,59.27,55.0,4.27,True,motorvehicle-horn,0.8624,truck,0.8111,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.8965,truck,0.8111,0.8624,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0003,2026-06-04T12:00:30,residential,day,61.11,55.0,6.11,True,motorvehicle-horn,0.9092,person,0.8575,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9588,car,0.8348,0.9092,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0004,2026-06-04T12:00:40,residential,day,57.69,55.0,2.69,True,motorvehicle-horn,0.9168,bus,0.856,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9573,bus,0.856,0.9168,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0005,2026-06-04T12:00:50,residential,day,59.37,55.0,4.37,True,motorvehicle-horn,0.8898,car,0.7756,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.966,car,0.7756,0.8898,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0006,2026-06-04T12:01:00,residential,day,60.69,55.0,5.69,True,motorvehicle-horn,0.8766,truck,0.7472,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9629,truck,0.7472,0.8766,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0007,2026-06-04T12:01:10,residential,day,63.01,55.0,8.01,True,motorvehicle-horn,0.8851,car,0.7782,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9564,car,0.7782,0.8851,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0008,2026-06-04T12:01:20,residential,day,67.13,55.0,12.13,True,motorvehicle-horn,0.9286,car,0.8503,False,0.0,ambient_exceeded,False,moderate,1,motorvehicle-horn,0.9809,car,0.8503,0.9286,0.6,audio_visual_late_fusion
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0009,2026-06-04T12:01:30,residential,day,63.91,55.0,8.91,True,motorvehicle-horn,0.889,car,0.768,False,0.0,ambient_exceeded,False,minor,1,motorvehicle-horn,0.9696,car,0.768,0.889,0.6,audio_visual_late_fusion
