event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,audio_motorvehicle-horn,video_car,audio_motorvehicle-siren,audio_generator,video_person,video_truck,video_backpack,video_bus,video_motorcycle,audio_crowd-noise,video_bicycle,video_umbrella,audio_construction-site,video_train,audio_mobile-music,video_fire hydrant,video_airplane,video_suitcase,video_horse,video_bench,video_traffic light
test_clip_1_chunk_0000,2025-11-02T00:31:32.343838,residential,night,54.7,45.0,9.7,True,False,0.0,ambient_exceeded,False,minor,0.4362,0.782,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0000,2025-11-02T00:31:32.343838,residential,night,54.7,45.0,9.7,True,False,0.0,ambient_exceeded,False,minor,0.4362,0.782,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0001,2025-11-02T00:31:42.343838,residential,night,58.84,45.0,13.84,True,False,0.1,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7052,0.7964,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0001,2025-11-02T00:31:42.343838,residential,night,58.84,45.0,13.84,True,False,0.1,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7052,0.7964,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0002,2025-11-02T00:31:52.343838,residential,night,59.94,45.0,14.94,True,False,0.0,ambient_exceeded,False,moderate,0.4958,0.8028,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0002,2025-11-02T00:31:52.343838,residential,night,59.94,45.0,14.94,True,False,0.0,ambient_exceeded,False,moderate,0.4958,0.8028,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0003,2025-11-02T00:31:02.343838,residential,night,61.33,45.0,16.33,True,False,0.0,ambient_exceeded,False,severe,,0.8248,0.3314,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0003,2025-11-02T00:31:02.343838,residential,night,61.33,45.0,16.33,True,False,0.0,ambient_exceeded,False,severe,,0.8248,0.3314,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0004,2025-11-02T00:31:12.343838,residential,night,64.94,45.0,19.94,True,False,0.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.8351,,0.8378,0.553,,,,,,,,,,,,,,,,
test_clip_1_chunk_0004,2025-11-02T00:31:12.343838,residential,night,64.94,45.0,19.94,True,False,0.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.8351,,0.8378,0.553,,,,,,,,,,,,,,,,
test_clip_1_chunk_0005,2025-11-02T00:31:22.343838,residential,night,58.11,45.0,13.11,True,False,0.0,ambient_exceeded,False,moderate,0.421,0.8416,,,0.6891,,,,,,,,,,,,,,,,
test_clip_1_chunk_0005,2025-11-02T00:31:22.343838,residential,night,58.11,45.0,13.11,True,False,0.0,ambient_exceeded,False,moderate,0.421,0.8416,,,0.6891,,,,,,,,,,,,,,,,
test_clip_1_chunk_0006,2025-11-02T00:32:32.343838,residential,night,67.75,45.0,22.75,True,False,0.0,ambient_exceeded,False,severe,,0.8499,0.474,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0006,2025-11-02T00:32:32.343838,residential,night,67.75,45.0,22.75,True,False,0.0,ambient_exceeded,False,severe,,0.8499,0.474,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0007,2025-11-02T00:32:42.343838,residential,night,55.98,45.0,10.98,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6261,0.8428,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0007,2025-11-02T00:32:42.343838,residential,night,55.98,45.0,10.98,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6261,0.8428,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0008,2025-11-02T00:32:52.343838,residential,night,59.56,45.0,14.56,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.612,0.8171,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0008,2025-11-02T00:32:52.343838,residential,night,59.56,45.0,14.56,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.612,0.8171,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0009,2025-11-02T00:32:02.343838,residential,night,54.92,45.0,9.92,True,False,0.125,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7385,0.8107,,,,0.4018,,,,,,,,,,,,,,,
test_clip_1_chunk_0009,2025-11-02T00:32:02.343838,residential,night,54.92,45.0,9.92,True,False,0.125,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7385,0.8107,,,,0.4018,,,,,,,,,,,,,,,
test_clip_1_chunk_0010,2025-11-02T00:32:12.343838,residential,night,53.5,45.0,8.5,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7439,0.8189,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0010,2025-11-02T00:32:12.343838,residential,night,53.5,45.0,8.5,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7439,0.8189,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0011,2025-11-02T00:32:22.343838,residential,night,56.06,45.0,11.06,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6349,0.8136,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0011,2025-11-02T00:32:22.343838,residential,night,56.06,45.0,11.06,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6349,0.8136,,,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0012,2025-11-02T00:33:32.343838,residential,night,78.51,45.0,33.51,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.8853,0.7982,,,0.8222,,,,,,,,,,,,,,,,
test_clip_1_chunk_0012,2025-11-02T00:33:32.343838,residential,night,78.51,45.0,33.51,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.8853,0.7982,,,0.8222,,,,,,,,,,,,,,,,
test_clip_1_chunk_0013,2025-11-02T00:33:42.343838,residential,night,83.79,45.0,38.79,True,False,0.1429,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.8303,,0.8675,,,,,,,,,,,,,,,,,
test_clip_1_chunk_0013,2025-11-02T00:33:42.343838,residential,night,83.79,45.0,38.79,True,False,0.1429,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.8303,,0.8675,,,,,,,,,,,,,,,,,
